time,temperature_2m,precipitation,relative_humidity_2m,pressure_msl,wind_speed_10m
2019-01-01T00:00,5.7,0.7,78,1001.0,37.0
2019-01-01T01:00,5.8,0.2,89,999.2,41.0
2019-01-01T02:00,6.1,0.7,86,999.4,42.0
2019-01-01T03:00,6.3,0.5,84,998.9,40.9
2019-01-01T04:00,5.8,1.1,90,1000.0,41.2
2019-01-01T05:00,5.7,0.7,92,1001.3,44.1
2019-01-01T06:00,4.9,1.3,93,1004.8,46.7
2019-01-01T07:00,4.9,0.4,86,1006.9,35.8
2019-01-01T08:00,3.9,0.8,87,1008.1,34.7
2019-01-01T09:00,3.0,0.5,90,1009.1,34.9
2019-01-01T10:00,3.1,0.3,85,1009.9,35.5
2019-01-01T11:00,3.1,0.3,82,1011.5,39.2
2019-01-01T12:00,4.0,0.0,62,1012.9,38.8
2019-01-01T13:00,4.0,0.1,52,1014.9,31.7
2019-01-01T14:00,3.4,0.0,63,1016.3,33.4
2019-01-01T15:00,3.3,0.3,77,1017.0,32.5
2019-01-01T16:00,3.4,0.1,82,1018.0,33.4
2019-01-01T17:00,3.4,0.0,81,1019.8,30.8
2019-01-01T18:00,3.3,0.0,77,1021.4,30.3
2019-01-01T19:00,2.9,0.0,74,1023.0,27.4
2019-01-01T20:00,2.9,0.0,69,1024.4,27.2
2019-01-01T21:00,2.6,0.0,67,1026.0,26.9
2019-01-01T22:00,2.4,0.0,67,1027.2,25.5
2019-01-01T23:00,2.1,0.0,64,1028.1,24.1
2019-01-02T00:00,1.9,0.0,64,1029.4,22.8
2019-01-02T01:00,1.1,0.0,76,1031.5,17.7
2019-01-02T02:00,1.6,0.0,71,1032.3,17.4
2019-01-02T03:00,1.7,0.0,72,1033.1,16.9
2019-01-02T04:00,1.6,0.0,75,1033.6,16.8
2019-01-02T05:00,1.6,0.0,73,1033.8,17.7
2019-01-02T06:00,1.5,0.0,69,1033.9,16.7
2019-01-02T07:00,1.5,0.0,68,1034.3,14.9
2019-01-02T08:00,1.5,0.0,68,1034.5,15.5
2019-01-02T09:00,1.6,0.0,68,1035.1,15.4
2019-01-02T10:00,1.6,0.0,69,1035.7,15.6
2019-01-02T11:00,2.1,0.0,70,1036.0,16.3
2019-01-02T12:00,2.8,0.0,67,1036.3,17.5
2019-01-02T13:00,2.9,0.0,71,1037.4,10.1
2019-01-02T14:00,2.5,0.1,79,1037.5,11.8
2019-01-02T15:00,2.5,0.1,82,1037.6,11.5
2019-01-02T16:00,2.4,0.0,81,1037.4,10.6
2019-01-02T17:00,1.9,0.0,86,1037.3,6.8
2019-01-02T18:00,2.3,0.0,84,1037.3,7.9
2019-01-02T19:00,2.2,0.0,85,1037.2,7.8
2019-01-02T20:00,2.2,0.0,88,1037.1,8.0
2019-01-02T21:00,2.5,0.0,88,1037.4,6.5
2019-01-02T22:00,2.1,0.0,91,1037.1,3.3
2019-01-02T23:00,2.6,0.0,87,1037.0,1.1
2019-01-03T00:00,2.2,0.0,88,1037.1,3.5
2019-01-03T01:00,2.1,0.0,83,1038.4,0.5
2019-01-03T02:00,1.9,0.0,85,1038.5,1.4
2019-01-03T03:00,2.5,0.0,80,1038.3,2.5
2019-01-03T04:00,2.6,0.0,79,1038.1,5.8
2019-01-03T05:00,1.9,0.0,81,1037.3,5.5
2019-01-03T06:00,1.7,0.0,80,1037.7,6.9
2019-01-03T07:00,1.8,0.0,80,1037.4,5.4
2019-01-03T08:00,2.2,0.0,82,1037.2,3.3
2019-01-03T09:00,2.8,0.0,82,1036.9,2.8
2019-01-03T10:00,2.9,0.0,84,1037.0,2.6
2019-01-03T11:00,3.1,0.1,85,1037.1,3.9
2019-01-03T12:00,3.2,0.2,87,1037.1,7.6
2019-01-03T13:00,3.4,0.2,85,1037.8,4.1
2019-01-03T14:00,3.2,0.1,88,1037.6,7.0
2019-01-03T15:00,3.2,0.0,92,1037.7,6.8
2019-01-03T16:00,2.8,0.0,94,1037.5,6.2
2019-01-03T17:00,2.8,0.0,95,1037.1,5.0
2019-01-03T18:00,3.0,0.0,92,1036.3,5.1
2019-01-03T19:00,2.7,0.0,93,1036.3,3.0
2019-01-03T20:00,2.6,0.1,93,1036.1,1.8
2019-01-03T21:00,2.8,0.1,92,1035.4,4.5
2019-01-03T22:00,3.1,0.2,93,1034.9,5.7
2019-01-03T23:00,3.1,0.3,99,1034.3,6.8
2019-01-04T00:00,3.4,0.7,100,1033.6,6.9
2019-01-04T01:00,3.0,0.7,96,1033.9,8.4
2019-01-04T02:00,3.0,0.3,98,1033.5,9.7
2019-01-04T03:00,3.1,0.6,100,1033.0,11.8
2019-01-04T04:00,3.3,0.3,100,1032.3,12.4
2019-01-04T05:00,3.5,0.2,100,1031.4,11.2
2019-01-04T06:00,3.7,1.0,100,1030.5,6.2
2019-01-04T07:00,4.2,1.3,99,1029.8,5.1
2019-01-04T08:00,6.4,1.5,100,1029.0,9.7
2019-01-04T09:00,7.3,2.0,100,1028.5,13.6
2019-01-04T10:00,7.9,1.6,100,1028.1,16.9
2019-01-04T11:00,8.1,0.9,100,1027.8,18.0
2019-01-04T12:00,8.1,1.4,100,1027.2,18.0
2019-01-04T13:00,7.8,1.9,100,1027.1,17.4
2019-01-04T14:00,7.9,2.4,100,1026.5,16.6
2019-01-04T15:00,8.0,2.6,100,1026.1,17.6
2019-01-04T16:00,8.0,2.3,100,1025.7,18.0
2019-01-04T17:00,8.0,1.7,100,1025.4,17.5
2019-01-04T18:00,7.9,1.5,100,1025.3,18.0
2019-01-04T19:00,7.9,1.0,100,1025.2,19.7
2019-01-04T20:00,7.9,0.5,100,1025.0,19.8
2019-01-04T21:00,7.8,0.2,100,1025.2,18.5
2019-01-04T22:00,7.7,0.2,100,1025.3,17.4
2019-01-04T23:00,7.6,0.2,100,1025.5,16.5
2019-01-05T00:00,7.5,0.1,100,1025.6,15.4
2019-01-05T01:00,7.4,0.1,100,1026.3,15.6
2019-01-05T02:00,7.6,0.2,100,1026.2,16.0
2019-01-05T03:00,7.6,0.3,100,1026.3,16.4
2019-01-05T04:00,7.6,0.2,100,1026.4,15.5
2019-01-05T05:00,7.6,0.2,100,1026.4,14.5
2019-01-05T06:00,7.6,0.1,100,1026.4,13.5
2019-01-05T07:00,7.6,0.1,100,1026.3,12.8
2019-01-05T08:00,7.5,0.0,100,1026.5,11.7
2019-01-05T09:00,7.4,0.0,100,1026.7,10.6
2019-01-05T10:00,7.4,0.0,100,1026.9,9.7
2019-01-05T11:00,7.4,0.0,100,1026.8,9.7
2019-01-05T12:00,7.5,0.0,100,1026.8,8.9
2019-01-05T13:00,7.2,0.1,100,1027.4,8.7
2019-01-05T14:00,7.3,0.0,100,1027.3,8.7
